Colorado All Grades All Formulations Retail Gasoline Prices Weekly
https://www.eia.gov/opendata/v1/qb.php?category=240850&sdid=PET.EMM_EPM0_PTE_SCO_DPG.W
21:27:09 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Week of,Series ID: PET.EMM_EPM0_PTE_SCO_DPG.W Dollars per Gallon
10/20/2008,2.962
10/13/2008,3.235
10/6/2008,3.484
09/29/2008,3.588
09/22/2008,3.64
09/15/2008,3.755
09/8/2008,3.723
09/1/2008,3.768
08/25/2008,3.776
08/18/2008,3.829
08/11/2008,3.892
08/4/2008,3.936
07/28/2008,3.996
07/21/2008,4.06
07/14/2008,4.076
07/7/2008,4.034
06/30/2008,4.004
06/23/2008,3.998
06/16/2008,4.003
06/9/2008,3.969
06/2/2008,3.931
05/26/2008,3.909
05/19/2008,3.739
05/12/2008,3.658
05/5/2008,3.529
04/28/2008,3.527
04/21/2008,3.458
04/14/2008,3.33
04/7/2008,3.292
03/31/2008,3.24
03/24/2008,3.185
03/17/2008,3.171
03/10/2008,3.107
03/3/2008,3.096
02/25/2008,3.086
02/18/2008,2.962
02/11/2008,2.933
02/4/2008,2.935
01/28/2008,2.882
01/21/2008,2.891
01/14/2008,2.912
01/7/2008,2.911
12/31/2007,2.851
12/24/2007,2.858
12/17/2007,2.907
12/10/2007,2.959
12/3/2007,3.05
11/26/2007,3.083
11/19/2007,3.1
11/12/2007,3.101
11/5/2007,2.992
10/29/2007,2.853
10/22/2007,2.854
10/15/2007,2.799
10/8/2007,2.819
10/1/2007,2.856
09/24/2007,2.883
09/17/2007,2.91
09/10/2007,2.941
09/3/2007,2.914
08/27/2007,2.851
08/20/2007,2.879
08/13/2007,2.911
08/6/2007,2.979
07/30/2007,3.034
07/23/2007,3.11
07/16/2007,3.19
07/9/2007,3.12
07/2/2007,3.131
06/25/2007,3.16
06/18/2007,3.207
06/11/2007,3.265
06/4/2007,3.321
05/28/2007,3.359
05/21/2007,3.36
05/14/2007,3.271
05/7/2007,3.145
04/30/2007,2.983
04/23/2007,2.859
04/16/2007,2.841
04/9/2007,2.761
04/2/2007,2.659
03/26/2007,2.601
03/19/2007,2.562
03/12/2007,2.48
03/5/2007,2.469
02/26/2007,2.349
02/19/2007,2.254
02/12/2007,2.172
02/5/2007,2.129
01/29/2007,2.099
01/22/2007,2.14
01/15/2007,2.186
01/8/2007,2.212
01/1/2007,2.214
12/25/2006,2.217
12/18/2006,2.21
12/11/2006,2.218
12/4/2006,2.216
11/27/2006,2.185
11/20/2006,2.19
11/13/2006,2.199
11/6/2006,2.218
10/30/2006,2.252
10/23/2006,2.294
10/16/2006,2.372
10/9/2006,2.473
