New York All Grades All Formulations Retail Gasoline Prices Weekly
https://www.eia.gov/opendata/v1/qb.php?category=240886&sdid=PET.EMM_EPM0_PTE_SNY_DPG.W
21:26:00 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Week of,Series ID: PET.EMM_EPM0_PTE_SNY_DPG.W Dollars per Gallon
04/19/2004,1.928
04/12/2004,1.913
04/5/2004,1.922
03/29/2004,1.92
03/22/2004,1.911
03/15/2004,1.901
03/8/2004,1.906
03/1/2004,1.875
02/23/2004,1.841
02/16/2004,1.829
02/9/2004,1.823
02/2/2004,1.826
01/26/2004,1.809
01/19/2004,1.777
01/12/2004,1.73
01/5/2004,1.698
12/29/2003,1.691
12/22/2003,1.693
12/15/2003,1.693
12/8/2003,1.701
12/1/2003,1.711
11/24/2003,1.717
11/17/2003,1.723
11/10/2003,1.743
11/3/2003,1.766
10/27/2003,1.777
10/20/2003,1.804
10/13/2003,1.811
10/6/2003,1.832
09/29/2003,1.852
09/22/2003,1.877
09/15/2003,1.899
09/8/2003,1.915
09/1/2003,1.928
08/25/2003,1.877
08/18/2003,1.715
08/11/2003,1.673
08/4/2003,1.65
07/28/2003,1.652
07/21/2003,1.646
07/14/2003,1.629
07/7/2003,1.603
06/30/2003,1.597
06/23/2003,1.601
06/16/2003,1.612
06/9/2003,1.614
06/2/2003,1.627
05/26/2003,1.646
05/19/2003,1.668
05/12/2003,1.689
05/5/2003,1.714
04/28/2003,1.739
04/21/2003,1.755
04/14/2003,1.772
04/7/2003,1.788
03/31/2003,1.804
03/24/2003,1.82
03/17/2003,1.826
03/10/2003,1.81
03/3/2003,1.8
02/24/2003,1.801
02/17/2003,1.793
02/10/2003,1.755
02/3/2003,1.679
01/27/2003,1.648
01/20/2003,1.644
01/13/2003,1.647
01/6/2003,1.647
12/30/2002,1.63
12/23/2002,1.605
12/16/2002,1.593
12/9/2002,1.6
12/2/2002,1.602
11/25/2002,1.6
11/18/2002,1.601
11/11/2002,1.61
11/4/2002,1.594
10/28/2002,1.592
10/21/2002,1.587
10/14/2002,1.581
10/7/2002,1.581
09/30/2002,1.575
09/23/2002,1.566
09/16/2002,1.565
09/9/2002,1.564
09/2/2002,1.566
08/26/2002,1.565
08/19/2002,1.561
08/12/2002,1.563
08/5/2002,1.559
07/29/2002,1.546
07/22/2002,1.539
07/15/2002,1.512
07/8/2002,1.511
07/1/2002,1.513
06/24/2002,1.519
06/17/2002,1.523
06/10/2002,1.528
06/3/2002,1.534
05/27/2002,1.538
05/20/2002,1.541
05/13/2002,1.547
05/6/2002,1.538
04/29/2002,1.542
04/22/2002,1.543
04/15/2002,1.531
04/8/2002,1.498
04/1/2002,1.464
03/25/2002,1.421
03/18/2002,1.359
03/11/2002,1.292
03/4/2002,1.254
02/25/2002,1.251
02/18/2002,1.248
02/11/2002,1.252
02/4/2002,1.255
01/28/2002,1.26
01/21/2002,1.26
01/14/2002,1.258
01/7/2002,1.234
12/31/2001,1.215
12/24/2001,1.215
12/17/2001,1.229
12/10/2001,1.247
12/3/2001,1.272
11/26/2001,1.302
11/19/2001,1.321
11/12/2001,1.353
11/5/2001,1.379
10/29/2001,1.411
10/22/2001,1.438
10/15/2001,1.469
10/8/2001,1.501
10/1/2001,1.527
09/24/2001,1.559
09/17/2001,1.563
09/10/2001,1.56
09/3/2001,1.561
08/27/2001,1.559
08/20/2001,1.569
08/13/2001,1.578
08/6/2001,1.59
07/30/2001,1.613
07/23/2001,1.641
07/16/2001,1.673
07/9/2001,1.7
07/2/2001,1.728
06/25/2001,1.763
06/18/2001,1.791
06/11/2001,1.822
06/4/2001,1.84
05/28/2001,1.841
05/21/2001,1.821
05/14/2001,1.82
05/7/2001,1.789
04/30/2001,1.74
04/23/2001,1.695
04/16/2001,1.621
04/9/2001,1.566
04/2/2001,1.541
03/26/2001,1.533
03/19/2001,1.539
03/12/2001,1.552
03/5/2001,1.559
02/26/2001,1.574
02/19/2001,1.577
02/12/2001,1.581
02/5/2001,1.575
01/29/2001,1.58
01/22/2001,1.583
01/15/2001,1.589
01/8/2001,1.598
01/1/2001,1.607
12/25/2000,1.618
12/18/2000,1.627
12/11/2000,1.637
12/4/2000,1.647
11/27/2000,1.657
11/20/2000,1.66
11/13/2000,1.665
11/6/2000,1.67
10/30/2000,1.668
10/23/2000,1.665
10/16/2000,1.665
10/9/2000,1.655
10/2/2000,1.666
09/25/2000,1.675
09/18/2000,1.671
09/11/2000,1.672
09/4/2000,1.652
08/28/2000,1.662
08/21/2000,1.67
08/14/2000,1.681
08/7/2000,1.699
07/31/2000,1.716
07/24/2000,1.745
07/17/2000,1.759
07/10/2000,1.762
07/3/2000,1.768
06/26/2000,1.748
06/19/2000,1.729
06/12/2000,1.685
06/5/2000,1.646
